id,text,translation,speaker,duration
twi_1,Akwaaba. Wo ho te sɛn?,Hello, how are you?,speaker1,3.5
twi_2,Me din de Kofi. Me firi Ghana.,My name is Kofi. I am from Ghana.,speaker1,3.5
twi_3,Ɛhɔ yɛ fɛ paa.,It is very beautiful there.,speaker1,3.5
twi_4,Meda wo ase.,Thank you.,speaker1,3.5
twi_5,Yɛbɛhyia bio.,See you later.,speaker1,3.5
twi_6,Me pɛ sɛ me sua Twi.,I want to learn Twi.,speaker1,3.5
twi_7,Ɛte sɛn?,How is it going?,speaker1,3.5
twi_8,Aane, mete aseɛ.,Yes, I understand.,speaker1,3.5
twi_9,Daabi, mente aseɛ.,No, I don't understand.,speaker1,3.5
twi_10,Wo kɔ he?,Where are you going?,speaker1,3.5
