id,text,translation,speaker,duration
english_1,Hello, how are you?,Hello, how are you?,speaker1,3.5
english_2,My name is Kofi. I am from Ghana.,My name is Kofi. I am from Ghana.,speaker1,3.5
english_3,It is very beautiful there.,It is very beautiful there.,speaker1,3.5
english_4,Thank you.,Thank you.,speaker1,3.5
english_5,See you later.,See you later.,speaker1,3.5
english_6,I want to learn Twi.,I want to learn Twi.,speaker1,3.5
english_7,How is it going?,How is it going?,speaker1,3.5
english_8,Yes, I understand.,Yes, I understand.,speaker1,3.5
english_9,No, I don't understand.,No, I don't understand.,speaker1,3.5
english_10,Where are you going?,Where are you going?,speaker1,3.5
