id,text,translation,speaker,duration
ewe_1,Ŋdi na wò.,Hello, how are you?,speaker1,3.5
ewe_2,Ndi na mi.,My name is Kofi. I am from Ghana.,speaker1,3.5
ewe_3,Ŋdɔ na mi.,It is very beautiful there.,speaker1,3.5
ewe_4,Fiẽ na mi.,Thank you.,speaker1,3.5
ewe_5,Zã na mi.,See you later.,speaker1,3.5
ewe_6,Akpe.,I want to learn Twi.,speaker1,3.5
ewe_7,Akpe kakaka.,How is it going?,speaker1,3.5
ewe_8,Mawu nayra wò.,Yes, I understand.,speaker1,3.5
ewe_9,Mawu nedi kplii wò.,No, I don't understand.,speaker1,3.5
ewe_10,Mawu nedi kpli mi.,Where are you going?,speaker1,3.5
