id,text,translation,speaker,duration
hausa_1,Sannu.,Hello, how are you?,speaker1,3.5
hausa_2,Ina kwana?,My name is Kofi. I am from Ghana.,speaker1,3.5
hausa_3,Ina wuni?,It is very beautiful there.,speaker1,3.5
hausa_4,Ina yini?,Thank you.,speaker1,3.5
hausa_5,Yaya gajiya?,See you later.,speaker1,3.5
hausa_6,Lafiya lau.,I want to learn Twi.,speaker1,3.5
hausa_7,Na gode.,How is it going?,speaker1,3.5
hausa_8,Na gode sosai.,Yes, I understand.,speaker1,3.5
hausa_9,Allah ya kiyaye.,No, I don't understand.,speaker1,3.5
hausa_10,Sai anjima.,Where are you going?,speaker1,3.5
